Date,log_totVol,Forecast for log_totVol,Std Error of Forecast,Lower 95% Confidence Limit,Upper 95% Confidence Limit,Residual: Actual-Forecast
2015-01-04,16.776977483,,,,,
2015-01-11,16.692212627,,,,,
2015-01-18,16.671099803,16.650448041,0.0699426977,16.513362872,16.787533209,0.0206517618
2015-01-25,16.652027967,16.723245104,0.0668571035,16.592207589,16.854282619,-0.071217137
2015-02-01,17.105857713,16.94372262,0.0668571035,16.812685105,17.074760135,0.162135093
2015-02-08,16.775706365,16.915140568,0.0668571035,16.784103053,17.046178083,-0.139434203
2015-02-15,16.64686809,16.630874084,0.0668571035,16.499836569,16.761911599,0.0159940066
2015-02-22,16.722114249,16.702149091,0.0668571035,16.571111576,16.833186606,0.0199651582
2015-03-01,16.823279503,16.857904362,0.0668571035,16.726866847,16.988941877,-0.034624859
2015-03-08,16.702144927,16.694210247,0.0668571035,16.563172732,16.825247762,0.0079346794
2015-03-15,16.690231986,16.624691626,0.0668571035,16.493654111,16.755729141,0.0655403608
2015-03-22,16.784976342,16.839054118,0.0668571035,16.708016603,16.970091633,-0.054077776
2015-03-29,16.693097811,16.734660186,0.0668571035,16.603622671,16.865697701,-0.041562375
2015-04-05,16.747200428,16.629071903,0.0668571035,16.498034388,16.760109418,0.1181285252
2015-04-12,16.759670435,16.776955286,0.0668571035,16.645917771,16.907992801,-0.017284851
2015-04-19,16.805516548,16.779406679,0.0668571035,16.648369164,16.910444194,0.0261098687
2015-04-26,16.732982095,16.723621818,0.0668571035,16.592584303,16.854659333,0.0093602775
2015-05-03,17.052490302,16.933659205,0.0668571035,16.80262169,17.06469672,0.1188310976
2015-05-10,16.915844532,16.877377535,0.0668571035,16.74634002,17.00841505,0.0384669966
2015-05-17,16.755919017,16.849217732,0.0668571035,16.718180217,16.980255247,-0.093298716
2015-05-24,16.87591623,16.859740611,0.0668571035,16.728703096,16.990778126,0.0161756191
2015-05-31,16.847639184,16.826620807,0.0668571035,16.695583292,16.957658322,0.0210183766
2015-06-07,16.914256386,16.900809758,0.0668571035,16.769772243,17.031847273,0.0134466283
2015-06-14,16.925277456,16.908157901,0.0668571035,16.777120386,17.039195416,0.0171195552
2015-06-21,16.897889876,16.925225206,0.0668571035,16.794187691,17.056262721,-0.02733533
2015-06-28,16.776064187,16.842144265,0.0668571035,16.71110675,16.97318178,-0.066080079
2015-07-05,16.950973222,16.808888945,0.0668571035,16.67785143,16.93992646,0.1420842766
2015-07-12,16.758910249,16.905021697,0.0668571035,16.773984182,17.036059212,-0.146111448
2015-07-19,16.778933429,16.814418923,0.0668571035,16.683381408,16.945456438,-0.035485494
2015-07-26,16.721529096,16.745950782,0.0668571035,16.614913267,16.876988297,-0.024421686
2015-08-02,16.731802571,16.707485802,0.0668571035,16.576448287,16.838523317,0.024316769
2015-08-09,16.833091023,16.819652419,0.0668571035,16.688614904,16.950689934,0.0134386037
2015-08-16,16.786281447,16.792912337,0.0668571035,16.661874822,16.923949852,-0.00663089
2015-08-23,16.706535275,16.747871169,0.0668571035,16.616833654,16.878908684,-0.041335894
2015-08-30,16.717732201,16.725278446,0.0668571035,16.594240931,16.856315961,-0.007546245
2015-09-06,16.828839799,16.806294859,0.0668571035,16.675257344,16.937332374,0.02254494
2015-09-13,16.768716354,16.802879084,0.0668571035,16.671841569,16.933916599,-0.03416273
2015-09-20,16.714220406,16.795766969,0.0668571035,16.664729454,16.926804484,-0.081546563
2015-09-27,16.642945052,16.708106492,0.0668571035,16.577068977,16.839144007,-0.065161441
2015-10-04,16.671543866,16.687063953,0.0668571035,16.556026438,16.818101468,-0.015520086
2015-10-11,16.707145476,16.719366409,0.0668571035,16.588328894,16.850403924,-0.012220934
2015-10-18,16.740821408,16.68079638,0.0668571035,16.549758865,16.811833895,0.0600250278
2015-10-25,16.586143444,16.648397312,0.0668571035,16.517359797,16.779434827,-0.062253867
2015-11-01,16.805324624,16.761996345,0.0668571035,16.63095883,16.89303386,0.0433282794
2015-11-08,16.690891319,16.751387473,0.0668571035,16.620349958,16.882424988,-0.060496155
2015-11-15,16.705815118,16.718655511,0.0668571035,16.587617996,16.849693026,-0.012840393
2015-11-22,16.562771661,16.68048671,0.0668571035,16.549449195,16.811524225,-0.11771505
2015-11-29,16.465905238,16.579260517,0.0668571035,16.448223002,16.710298032,-0.113355279
2015-12-06,16.71485759,16.615539367,0.0668571035,16.484501852,16.746576882,0.0993182228
2015-12-13,16.666973904,16.651493694,0.0668571035,16.520456179,16.782531209,0.0154802102
2015-12-20,16.557083626,16.544880635,0.0668571035,16.41384312,16.67591815,0.0122029906
2015-12-27,16.628891535,16.621236993,0.0668571035,16.490199478,16.752274508,0.0076545422
2016-01-03,16.968414867,16.767953214,0.0668571035,16.636915699,16.898990729,0.2004616538
2016-01-10,16.899775977,16.819196925,0.0668571035,16.68815941,16.95023444,0.0805790518
2016-01-17,16.875873345,16.830366846,0.0668571035,16.699329331,16.961404361,0.045506499
2016-01-24,16.870466424,16.935946425,0.0668571035,16.80490891,17.06698394,-0.065480002
2016-01-31,16.874252198,16.897847205,0.0668571035,16.76680969,17.02888472,-0.023595007
2016-02-07,17.283670064,17.179293842,0.0668571035,17.048256327,17.310331357,0.1043762218
2016-02-14,16.925853127,16.994335315,0.0668571035,16.8632978,17.12537283,-0.068482188
2016-02-21,16.823206196,16.814475179,0.0668571035,16.683437664,16.945512694,0.0087310173
2016-02-28,16.94844869,16.914170028,0.0668571035,16.783132513,17.045207543,0.0342786621
2016-03-06,16.882843797,16.879020292,0.0668571035,16.747982777,17.010057807,0.0038235055
2016-03-13,16.911919862,16.940388752,0.0668571035,16.809351237,17.071426267,-0.028468889
2016-03-20,16.916510714,16.87377978,0.0668571035,16.742742265,17.004817295,0.0427309343
2016-03-27,16.907055641,16.889604387,0.0668571035,16.758566872,17.020641902,0.0174512546
2016-04-03,16.835231885,16.955693747,0.0668571035,16.824656232,17.086731262,-0.120461862
2016-04-10,16.923536046,16.910112181,0.0668571035,16.779074666,17.041149696,0.0134238652
2016-04-17,16.927735952,16.903684657,0.0668571035,16.772647142,17.034722172,0.0240512945
2016-04-24,17.004892799,16.992936519,0.0668571035,16.861899004,17.123974034,0.0119562799
2016-05-01,17.090533807,17.078884602,0.0668571035,16.947847087,17.209922117,0.0116492056
2016-05-08,17.176163107,17.103146181,0.0668571035,16.972108666,17.234183696,0.0730169261
2016-05-15,17.009567297,17.045453321,0.0668571035,16.914415806,17.176490836,-0.035886024
2016-05-22,16.919974156,16.88667258,0.0668571035,16.755635065,17.017710095,0.0333015757
2016-05-29,17.011913679,16.927442372,0.0668571035,16.796404857,17.058479887,0.0844713078
2016-06-05,17.017988174,16.965243248,0.0668571035,16.834205733,17.096280763,0.0527449262
2016-06-12,16.887196994,16.881880876,0.0668571035,16.750843361,17.012918391,0.0053161174
2016-06-19,16.958752737,16.930650908,0.0668571035,16.799613393,17.061688423,0.0281018292
2016-06-26,16.920569729,16.930921928,0.0668571035,16.799884413,17.061959443,-0.010352198
2016-07-03,16.998142827,16.934198029,0.0668571035,16.803160514,17.065235544,0.0639447979
2016-07-10,16.875537758,16.907721381,0.0668571035,16.776683866,17.038758896,-0.032183623
2016-07-17,16.795223259,16.819682045,0.0668571035,16.68864453,16.95071956,-0.024458787
2016-07-24,16.789623385,16.72741596,0.0668571035,16.596378445,16.858453475,0.0622074249
2016-07-31,16.757471913,16.739793981,0.0668571035,16.608756466,16.870831496,0.0176779323
2016-08-07,16.841809795,16.841134959,0.0668571035,16.710097444,16.972172474,0.0006748362
2016-08-14,16.862466732,16.912386788,0.0668571035,16.781349273,17.043424303,-0.049920056
2016-08-21,16.845626617,16.857727165,0.0668571035,16.72668965,16.98876468,-0.012100549
2016-08-28,16.854808321,16.837813182,0.0668571035,16.706775667,16.968850697,0.0169951389
2016-09-04,16.940472302,16.903518096,0.0668571035,16.772480581,17.034555611,0.0369542058
2016-09-11,16.86075991,16.932489569,0.0668571035,16.801452054,17.063527084,-0.071729658
2016-09-18,16.757354784,16.778836554,0.0668571035,16.647799039,16.909874069,-0.02148177
2016-09-25,16.7564621,16.658943384,0.0668571035,16.527905869,16.789980899,0.097518716
2016-10-02,16.743005445,16.71779725,0.0668571035,16.586759735,16.848834765,0.0252081952
2016-10-09,16.693802428,16.724817648,0.0668571035,16.593780133,16.855855163,-0.03101522
2016-10-16,16.656146082,16.682679711,0.0668571035,16.551642196,16.813717226,-0.026533629
2016-10-23,16.531442574,16.601612583,0.0668571035,16.470575068,16.732650098,-0.070170009
2016-10-30,16.356370384,16.466648252,0.0668571035,16.335610737,16.597685767,-0.110277868
2016-11-06,16.415543315,16.347960416,0.0668571035,16.216922901,16.478997931,0.067582899
2016-11-13,16.510707561,16.489812767,0.0668571035,16.358775252,16.620850282,0.0208947949
2016-11-20,16.575464276,16.593245177,0.0668571035,16.462207662,16.724282692,-0.017780902
2016-11-27,16.479303444,16.61712567,0.0668571035,16.486088155,16.748163185,-0.137822226
2016-12-04,16.772610152,16.776894118,0.0668571035,16.645856603,16.907931633,-0.004283966
2016-12-11,16.745995797,16.807448266,0.0668571035,16.676410751,16.938485781,-0.06145247
2016-12-18,16.720911729,16.775971053,0.0668571035,16.644933538,16.907008568,-0.055059325
2016-12-25,16.725017031,16.658293998,0.0668571035,16.527256483,16.789331513,0.0667230322
2017-01-01,16.96058672,16.866494056,0.0668571035,16.735456541,16.997531571,0.0940926638
2017-01-08,16.964222855,16.830001961,0.0668571035,16.698964446,16.961039476,0.134220894
2017-01-15,16.957569187,16.856628541,0.0668571035,16.725591026,16.987666056,0.1009406466
2017-01-22,17.081460742,17.067233494,0.0668571035,16.936195979,17.198271009,0.0142272479
2017-01-29,17.000223329,17.021972491,0.0668571035,16.890934976,17.153010006,-0.021749162
2017-02-05,17.433437244,17.342321467,0.0668571035,17.211283952,17.473358982,0.091115777
2017-02-12,17.041209305,17.243531409,0.0668571035,17.112493894,17.374568924,-0.202322104
2017-02-19,16.82397109,16.798315897,0.0668571035,16.667278382,16.929353412,0.0256551932
2017-02-26,16.919695243,16.847969087,0.0668571035,16.716931572,16.979006602,0.071726156
2017-03-05,16.839691278,16.798950424,0.0668571035,16.667912909,16.929987939,0.0407408546
2017-03-12,16.777456198,16.656504924,0.0668571035,16.525467409,16.787542439,0.120951274
2017-03-19,16.761627212,16.738779349,0.0668571035,16.607741834,16.869816864,0.0228478624
2017-03-26,16.78695843,16.789538833,0.0668571035,16.658501318,16.920576348,-0.002580403
2017-04-02,16.851829955,16.798467846,0.1257156674,16.552069665,17.044866026,0.0533621098
2017-04-09,16.858068126,16.796541417,0.1599680157,16.483009868,17.110072967,0.0615267089
2017-04-16,16.863281917,16.792931776,0.1784683941,16.443140151,17.142723401,0.0703501403
2017-04-23,16.876779756,16.791996539,0.1964798594,16.406903091,17.177089987,0.084783217
2017-04-30,16.964894884,16.791172591,0.2142968638,16.371158456,17.211186726,0.1737222936
2017-05-07,17.17916699,16.789983067,0.2305581688,16.33809736,17.241868774,0.3891839228
2017-05-14,16.925822454,16.788771942,0.2456494532,16.307307861,17.270236023,0.137050512
2017-05-21,16.857343976,16.787615496,0.2599355871,16.278151107,17.297079885,0.06972848
2017-05-28,16.931652961,16.786461983,0.2735405598,16.250332337,17.322591628,0.1451909784
2017-06-04,16.940511196,16.785300506,0.2865378713,16.223696599,17.346904414,0.1552106894
2017-06-11,16.919911065,16.784138588,0.299007825,16.19809402,17.370183156,0.1357724773
2017-06-18,16.953587372,16.78297784,0.3110169873,16.173395746,17.392559933,0.1706095319
2017-06-25,16.941363066,16.781817156,0.3226168375,16.149499773,17.414134538,0.1595459103
2017-07-02,16.936279001,16.7806563,0.3338497051,16.126322902,17.434989699,0.1556227006
2017-07-09,16.978421065,16.779495435,0.3447515677,16.103794779,17.455196092,0.1989256294
2017-07-16,16.777308733,16.778334596,0.3553530358,16.081855444,17.474813748,-0.001025863
2017-07-23,16.790675839,16.777173757,0.3656803189,16.060453502,17.493894012,0.0135020818
2017-07-30,16.759746839,16.776012915,0.375756098,16.039544496,17.512481334,-0.016266076
2017-08-06,16.78221615,16.774852073,0.385600169,16.019089629,17.530614517,0.0073640772
2017-08-13,16.79252202,16.773691231,0.3952299246,15.999054813,17.548327649,0.0188307889
2017-08-20,16.706397262,16.772530389,0.4046607412,15.979409911,17.565650868,-0.066133128
2017-08-27,16.665753752,16.771369548,0.4139062912,15.960128124,17.582610971,-0.105615796
2017-09-03,16.602704837,16.770208706,0.4229787962,15.941185499,17.599231913,-0.167503869
2017-09-10,16.590918621,16.769047864,0.4318892326,15.922560523,17.615535205,-0.178129243
2017-09-17,16.559068049,16.767887022,0.4406475017,15.904233789,17.631540256,-0.208818973
2017-09-24,16.535701317,16.766726181,0.4492625714,15.886187721,17.64726464,-0.231024863
2017-10-01,16.534153788,16.765565339,0.457742594,15.86840634,17.662724337,-0.231411551
2017-10-08,16.528234755,16.764404497,0.4660950064,15.850875071,17.677933923,-0.236169742
2017-10-15,16.555643651,16.763243655,0.4743266146,15.833580574,17.692906737,-0.207600004
2017-10-22,16.615281588,16.762082813,0.4824436659,15.816510604,17.707655023,-0.146801226
2017-10-29,16.754423708,16.760921972,0.4904519105,15.799653891,17.722190052,-0.006498263
2017-11-05,16.799985723,16.75976113,0.4983566554,15.783000034,17.736522226,0.040224593
2017-11-12,16.78640742,16.758600288,0.5061628103,15.76653941,17.750661167,0.0278071319
2017-11-19,16.709133082,16.757439446,0.5138749279,15.750263095,17.764615798,-0.048306364
2017-11-26,16.550072659,16.756278605,0.5214972389,15.734162798,17.778394411,-0.206205946
2017-12-03,16.832040013,16.755117763,0.5290336831,15.718230797,17.792004728,0.0769222503
2017-12-10,16.925343587,16.753956921,0.5364879365,15.702459887,17.805453955,0.171386666
2017-12-17,16.752214415,16.752796079,0.5438634349,15.686843334,17.818748824,-0.000581664
2017-12-24,16.680042849,16.751635237,0.5511633957,15.671374832,17.831895643,-0.071592388
2017-12-31,16.953945604,16.750474396,0.5583908363,15.656048467,17.844900324,0.2034712084
2018-01-07,16.903938227,16.749313554,0.5655485912,15.640858684,17.857768424,0.1546246728
2018-01-14,16.913125484,16.748152712,0.5726393273,15.625800255,17.87050517,0.1649727718
2018-01-21,17.082636053,16.74699187,0.5796655567,15.610868256,17.883115485,0.3356441824
2018-01-28,17.013825704,16.745831029,0.5866296497,15.596058043,17.895604014,0.2679946755
2018-02-04,17.461666891,16.744670187,0.5935338451,15.581365227,17.907975147,0.7169967039
2018-02-11,17.074893171,16.743509345,0.6003802603,15.566785658,17.920233032,0.3313838256
2018-02-18,16.910867007,16.742348503,0.6071709005,15.552315406,17.932381601,0.168518504
2018-02-25,16.993111484,16.741187661,0.6139076665,15.537950745,17.944424578,0.2519238222
2018-03-04,17.017350757,16.74002682,0.6205923622,15.523688141,17.956365499,0.277323937
2018-03-11,17.012949039,16.738865978,0.6272267012,15.509524233,17.968207722,0.2740830615
2018-03-18,17.039792557,16.737705136,0.6338123134,15.495455829,17.979954443,0.302087421
2018-03-25,17.066481291,16.736544294,0.6403507499,15.481479887,17.991608702,0.3299369964
